x-axis,1,2,3
second,Volt,Volt,Volt
-35.10000E-06,+412.50000000000E+00,-250.00000000E-03,+15.31250000000E+00
-35.08000E-06,+412.50000000000E+00,-562.50000000E-03,+15.31250000000E+00
-35.06000E-06,+412.50000000000E+00,-250.00000000E-03,+15.31250000000E+00
-35.04000E-06,+412.50000000000E+00,-562.50000000E-03,+15.00000000000E+00
-35.02000E-06,+412.50000000000E+00,-250.00000000E-03,+15.00000000000E+00
-35.00000E-06,+412.50000000001E+00,-562.50000000E-03,+15.62500000000E+00
-34.98000E-06,+424.99999999999E+00,-250.00000000E-03,+15.31250000000E+00
-34.96000E-06,+418.74999999999E+00,-562.50000000E-03,+15.00000000000E+00
-34.94000E-06,+412.50000000001E+00,-250.00000000E-03,+15.31250000000E+00
-34.92000E-06,+418.75000000000E+00,-250.00000000E-03,+15.31250000000E+00
-34.90000E-06,+418.75000000000E+00,-250.00000000E-03,+15.31250000000E+00
-34.88000E-06,+418.75000000001E+00,-250.00000000E-03,+15.31250000000E+00
-34.86000E-06,+424.99999999999E+00,-250.00000000E-03,+15.31250000000E+00
-34.84000E-06,+418.75000000000E+00,-562.50000000E-03,+15.00000000000E+00
-34.82000E-06,+418.75000000000E+00,-250.00000000E-03,+15.62500000000E+00
-34.80000E-06,+418.75000000002E+00,-562.50000000E-03,+15.31250000000E+00
-34.78000E-06,+424.99999999998E+00,-250.00000000E-03,+15.31250000000E+00
-34.76000E-06,+418.75000000002E+00,-250.00000000E-03,+15.31250000000E+00
-34.74000E-06,+425.00000000000E+00,-250.00000000E-03,+15.31250000000E+00
-34.72000E-06,+425.00000000000E+00,-250.00000000E-03,+15.31250000000E+00
-34.70000E-06,+425.00000000000E+00,-250.00000000E-03,+15.31250000000E+00
-34.68000E-06,+425.00000000000E+00,-250.00000000E-03,+15.31250000000E+00
-34.66000E-06,+425.00000000000E+00,-250.00000000E-03,+15.31250000000E+00
-34.64000E-06,+424.99999999996E+00,-250.00000000E-03,+15.31250000000E+00
-34.62000E-06,+412.50000000005E+00,-250.00000000E-03,+15.31250000000E+00
-34.60000E-06,+425.00000000000E+00,-250.00000000E-03,+15.62500000000E+00
-34.58000E-06,+425.00000000003E+00,-250.00000000E-03,+15.62500000000E+00
-34.56000E-06,+431.25000000000E+00,-562.50000000E-03,+15.31250000000E+00
-34.54000E-06,+431.25000000000E+00,-562.50000000E-03,+15.31250000000E+00
-34.52000E-06,+431.24999999997E+00,-562.50000000E-03,+15.31250000000E+00
-34.50000E-06,+425.00000000003E+00,-250.00000000E-03,+15.31250000000E+00
-34.48000E-06,+431.24999999997E+00,-562.50000000E-03,+15.31250000000E+00
-34.46000E-06,+425.00000000003E+00,-250.00000000E-03,+15.31250000000E+00
-34.44000E-06,+431.24999999997E+00,-250.00000000E-03,+15.31250000000E+00
-34.42000E-06,+424.99999999997E+00,-250.00000000E-03,+15.31250000000E+00
-34.40000E-06,+418.75000000000E+00,-562.50000000E-03,+15.31250000000E+00
-34.38000E-06,+418.75000000007E+00,-250.00000000E-03,+15.62500000000E+00
-34.36000E-06,+431.24999999996E+00,-562.50000000E-03,+15.31250000000E+00
-34.34000E-06,+425.00000000004E+00,-250.00000000E-03,+15.00000000000E+00
-34.32000E-06,+431.24999999996E+00,-562.50000000E-03,+15.31250000000E+00
-34.30000E-06,+425.00000000004E+00,-250.00000000E-03,+15.31250000000E+00
-34.28000E-06,+431.24999999996E+00,-250.00000000E-03,+15.62500000000E+00
-34.26000E-06,+425.00000000004E+00,+62.50000000E-03,+15.00000000000E+00
-34.24000E-06,+431.24999999992E+00,-562.50000000E-03,+15.62500000000E+00
-34.22000E-06,+418.75000000009E+00,-562.50000000E-03,+15.31250000000E+00
-34.20000E-06,+431.24999999996E+00,-250.00000000E-03,+15.00000000000E+00
-34.18000E-06,+425.00000000000E+00,-562.50000000E-03,+15.31250000000E+00
-34.16000E-06,+424.99999999995E+00,-562.50000000E-03,+15.31250000000E+00
-34.14000E-06,+418.75000000005E+00,-875.00000000E-03,+15.62500000000E+00
-34.12000E-06,+425.00000000000E+00,-562.50000000E-03,+15.31250000000E+00
-34.10000E-06,+425.00000000000E+00,-562.50000000E-03,+15.62500000000E+00
-34.08000E-06,+425.00000000000E+00,-562.50000000E-03,+15.62500000000E+00
-34.06000E-06,+425.00000000000E+00,-250.00000000E-03,+15.62500000000E+00
-34.04000E-06,+425.00000000000E+00,-250.00000000E-03,+15.31250000000E+00
